Number,Terminology,Description,Example
36,"glottal (glottal stop, glottalisation, glottis)","The anatomical space between the two vocal folds within the larynx gives its name to this place of articulation, describing any sound whose primary constriction occurs at this location rather than higher up in the oral or pharyngeal cavity, making the vocal folds themselves the active articulators rather than the tongue, lips, or velum. One specific sound made here is produced by fully closing the vocal folds together, completely blocking the airflow for a brief moment before releasing it, and it functions as a genuine, contrastive consonant phoneme in many languages, while in English it typically occurs as an allophone, most commonly as a realization of /t/ in certain positions, or as an automatic onset marker before vowel-initial words in emphatic speech. More broadly, any secondary involvement of a closure at this location accompanying the production of another sound can range from complete replacement of an oral gesture to a more partial, creaky-voice-like constriction that co-occurs with an oral articulation. Because this location is also the site of voicing itself, sounds made here occupy an unusual position in feature systems, often being treated as unspecified for the features that describe oral place of articulation.",Many English speakers pronounce the medial /t/ in 'button' with a full closure of the vocal folds [ˈbʌʔn̩] rather than as a released alveolar stop.
37,heavy syllable (light syllable),"One member of this pair of syllable weight categories is treated by phonologists as prosodically weighty for purposes of stress assignment and other rhythmic rules, typically because it contains a long vowel, a diphthong, or a closing consonant, giving it greater duration or structural complexity, while the other member lacks these properties, usually consisting of just a short vowel with nothing following it. The precise definition of which category a given syllable falls into varies somewhat from language to language, and this variation is itself an important parameter that phonologists must determine empirically for each language, since some languages count any closing consonant as adding weight while others only count certain types or only distinguish weight based on vowel length. This distinction is central to quantity-sensitive stress systems, in which stress is assigned preferentially to syllables in the weightier category rather than being determined purely by position within the word, and the distinction also plays a role in poetic meter in many literary traditions, where the patterning of the two categories forms the basis of metrical verse structure.","In a quantity-sensitive stress system, a closed syllable like 'CVC' typically counts as belonging to the weightier category, while an open syllable like 'CV' with a short vowel counts as the lighter type."
38,heterosyllabic (vs. tautosyllabic),"One term in this contrasting pair describes a relationship between two sounds, most often two consonants, that belong to different, adjacent syllables rather than to the same syllable, meaning that a syllable boundary falls between them, while the other term describes the opposite situation, in which two sounds belong together within a single syllable, with no syllable boundary separating them. This distinction is important for phonological rules that are sensitive to syllable structure, since a rule might apply only to a same-syllable sequence of a nasal followed by a consonant within a single syllable's closing position, but not to a cross-syllable sequence in which the nasal ends one syllable and the following consonant begins the next syllable, even though the two sequences might look identical if syllable boundaries were ignored. Determining which of the two relationships holds for a given consonant sequence often requires independent evidence about syllabification, such as patterns of stress, vowel length, or native speaker intuitions, since the same string of sounds can sometimes be syllabified differently depending on the specific word or the dialect of the speaker. This pair of contrasting relationships is closely related to, and sometimes contrasted with, the concept of ambisyllabicity, in which a single consonant is analyzed as belonging simultaneously to both adjacent syllables.","In 'winter' [ˈwɪn.tər], the /n/ and /t/ typically belong to different syllables, split across the syllable boundary, unlike a cluster contained within a single syllable in a one-syllable word."
39,homophone (homophonous),"This term names a word that is pronounced identically to another word despite differing from it in spelling, meaning, or both, so that the two words share exactly the same sequence of phonemes even though a listener relying only on sound alone would be unable to distinguish between them without additional contextual information. Two words standing in this relationship are described with a related adjective, and this pair of terms is distinguished from words that share identical spelling but may differ in pronunciation and meaning, and from a broader umbrella term that can refer to words sharing either spelling or pronunciation or both. This kind of identical pronunciation arises in a language for a variety of historical reasons, including sound changes that cause originally distinct pronunciations to merge over time, borrowing of words from different sources that happen to converge on the same pronunciation, or simple coincidental similarity, and such pairs are often exploited deliberately for humorous or poetic effect, as in puns, precisely because the identical sound combined with different meaning creates an opportunity for wordplay. This kind of identity can occasionally create genuine ambiguity in spoken communication that must be resolved by context.",'Bare' and 'bear' share exactly the same pronunciation /bɛr/ in English despite their different spellings and meanings.
40,"homorganic (e.g., same place of articulation)","This term describes two or more sounds that share the same place of articulation, meaning they are produced with the active and passive articulators positioned at the same location in the vocal tract, even though the sounds may differ in other respects such as manner of articulation or voicing. This label is frequently invoked in phonological analysis to explain why certain consonant sequences are permitted while others are not, since many languages impose restrictions requiring that adjacent consonants, particularly a nasal followed by an obstruent, agree in place of articulation, which is precisely the pattern seen in nasal place assimilation. Recognizing that two segments share their place of articulation this way is also useful for explaining certain historical sound changes and synchronic alternations, since sounds sharing a place are more likely to influence each other through assimilation or to be confused or merged over time than sounds produced at very different locations in the vocal tract. This relational label applies to pairs or sets of sounds rather than describing any single sound in isolation, and it draws directly on the same place-of-articulation categories used elsewhere in phonetic and phonological description.","/m/ and /p/ share their place of articulation, both being bilabial, which is why English words like 'camp' allow this particular nasal-stop sequence."
41,iamb/iambic (trochee / trochaic),"One member of this pair of metrical units consists of an unstressed syllable followed by a stressed syllable, so that the rhythmic pattern rises from weak to strong within the unit, while the other member is the reverse pattern, consisting of a stressed syllable followed by an unstressed syllable, falling from strong to weak. In metrical phonology, languages are often characterized as having a general preference for building one or the other type of unit when assigning word stress, and this preference correlates with other systematic properties of the language's rhythm, such as whether stressed syllables tend to be lengthened, in languages favoring the rising type, or whether syllable duration tends to be more uniform, in languages favoring the falling type, a correlation sometimes captured under a broader rhythmic law. These same two labels originate in the study of poetic meter, where a line of verse can be scanned as a sequence of such units, and the terminology was later adapted by linguists to describe the more abstract rhythmic footing that underlies ordinary word stress assignment, independent of any poetic context.","The word 'above' [əˈbʌv] rises from weak to strong within its metrical unit, while 'happy' [ˈhæpi] falls from strong to weak."
42,intonation,"This term names the patterned variation in pitch across an utterance that is not used to distinguish the lexical identity of individual words, as lexical tone does in tone languages, but instead operates at the level of the phrase or sentence to convey grammatical, pragmatic, or attitudinal information, such as marking a sentence as a statement versus a question, signaling focus or emphasis on a particular word, indicating that an utterance is complete versus continuing, or conveying emotional nuance like sarcasm, surprise, or uncertainty. This system is typically described in terms of pitch contours or tunes that rise, fall, or combine rise and fall over particular stretches of an utterance, often analyzed using systems that identify discrete high and low pitch targets associated with specific syllables, along with boundary tones that mark the edges of larger prosodic phrases. Although every spoken language uses some version of this pitch-based system to some degree, languages differ considerably in exactly which tunes are available, what meanings they convey, and how tightly the system interacts with syntax and word-level stress or tone. This aspect of prosody is studied both as an autonomous system of meaning in its own right and as one component of the larger prosodic hierarchy that also includes stress and rhythm.","A rising pitch contour at the end of 'You're coming?' signals a question, while a falling contour on 'You're coming.' signals a statement."
43,intrusive 'r',"This phenomenon is found in many non-rhotic varieties of English in which an /r/ sound is inserted between two vowels across a word or morpheme boundary even though there is no historical or orthographic /r/ present in that position at all, occurring as a way of avoiding an awkward vowel-to-vowel transition, called hiatus, at the boundary between the two words. This process is closely related to a similar phenomenon in which a historically present but otherwise silent word-final /r/ is pronounced specifically because the next word begins with a vowel, and both are commonly explained together as reflecting a more general strategy some non-rhotic dialects use to break up vowel hiatus by inserting a smooth consonantal transition. Because this particular phenomenon inserts a sound that has no historical or spelling justification whatsoever, unlike its silent-r counterpart, it is frequently stigmatized as a pronunciation error by prescriptive commentators, even though it is a systematic, rule-governed, and extremely common feature of many prestigious non-rhotic accents, including many varieties of British English. Its existence is often cited as strong evidence that speakers of these dialects have reanalyzed the historical /r/-insertion rule as a general vowel-hiatus repair strategy rather than as a rule tied specifically to spelling.","Many non-rhotic British speakers insert an /r/ in phrases like 'the idea(r) of it', even though 'idea' has no historical or spelled 'r' at all."
44,international phonetic alphabet (IPA),"This standardized system of phonetic notation, developed and maintained by the International Phonetic Association, is designed to provide a unique, unambiguous symbol for every distinct speech sound that occurs in any human language, allowing linguists to transcribe the pronunciation of any language consistently regardless of that language's native writing system or spelling conventions. It is built on the principle that each symbol should correspond to one and only one sound and each sound to one and only one symbol, in contrast to ordinary alphabetic spelling systems, which frequently use the same letter for multiple sounds or multiple letters for the same sound, and it supplements its core set of symbols with diacritics that can mark finer phonetic detail such as aspiration, nasalization, length, or secondary articulation. Because it is designed to be universally applicable rather than tied to any single language, it serves as the standard tool used in linguistics, language teaching, speech pathology, and lexicography for representing pronunciation precisely and comparably across languages. Its chart of symbols is organized systematically according to place and manner of articulation for consonants and according to height and backness for vowels, mirroring the underlying articulatory properties the symbols represent.","The English word 'thought' is transcribed using this notation system as /θɔːt/, with dedicated symbols distinct from the ordinary Latin-alphabet spelling."
45,'l' velarization,"This process refers to the way the lateral approximant /l/ acquires a secondary articulation involving the raising of the back of the tongue toward the velum, producing a variant commonly called dark 'l', in contrast to the clear 'l' variant, which lacks this raising and has a brighter acoustic quality. In many varieties of English, this process is conditioned by syllable position, typically applying when /l/ is in coda position, either at the end of a syllable or before a following consonant, while the unaffected, clear variant tends to occur in syllable onset position, especially before a vowel. Some varieties of English extend this process much further, applying it to /l/ in essentially all positions, while other varieties, or certain sociolinguistic registers within a variety, show little or no application of it at all, making its degree and distribution a well-studied source of both dialectal and stylistic variation. Because this process changes the acoustic quality of /l/ quite noticeably without changing its phonemic identity, the two resulting variants are treated as allophones of a single underlying lateral phoneme rather than as separate phonemes in the languages where this alternation occurs.","The 'l' in 'milk' typically undergoes this back-of-tongue raising in many English accents, sounding noticeably different from the clear 'l' in 'light'."
46,lateral,"This term describes a manner of articulation in which the central part of the tongue makes contact with the roof of the mouth, blocking the direct central airflow path, while the sides of the tongue are lowered or drawn away from the sides of the palate, allowing air to escape freely around one or both sides of the central closure instead. This contrasts with sounds in which airflow passes straight through the middle of the oral cavity rather than being diverted around the sides of the tongue, and this distinction is one of the features used to classify approximants more finely, alongside place and manner. Sounds of this type are cross-linguistically common, appearing at various places of articulation across the world's languages, though English has only a single phoneme of this manner, realized with several different allophonic variants depending on its position in the syllable, most notably the clear versus dark distinction. Some languages additionally contrast a fricative or affricate version of this manner, in which the same side-channel airflow configuration is combined with a narrower constriction that produces audible frication rather than the smooth, vowel-like airflow typical of the approximant version.","/l/ in English, as in 'light' or 'feel', is the only consonant of this manner, with air escaping around the sides of the tongue."
47,larynx,"This structure, located in the upper part of the trachea and commonly known as the voice box, houses the vocal folds along with the cartilages and muscles that control their tension, position, and vibration, making it the primary organ responsible for generating voicing and controlling pitch during speech production. Air from the lungs passes upward through it on its way to the pharynx and oral or nasal cavity, and depending on how the vocal folds are positioned, this airflow can be left completely unobstructed, producing voiceless sounds, made to vibrate rapidly, producing voiced sounds, or fully blocked entirely, producing a glottal stop, making this organ the anatomical foundation for the voicing distinction that runs throughout the sound systems of virtually all spoken languages. It is also capable of adjusting the tension of the vocal folds to raise or lower fundamental frequency, giving speakers control over pitch for purposes ranging from lexical tone to sentence-level intonation, and certain languages additionally exploit distinctive settings here such as creaky voice or breathy voice as contrastive or expressive phonation types. Because of its central role, it is often studied together with the broader vocal tract in both phonetics and speech pathology.",Placing two fingers on the front of the neck while alternating between /s/ and /z/ lets you feel the vocal fold vibration controlled by this organ.
48,lax vowel (tense vowel),"One member of this pair of vowel categories is produced with relatively less muscular tension in the tongue and surrounding articulators, typically resulting in a shorter duration and a quality that is often somewhat more centralized, while the other member is produced with comparatively greater articulatory tension, usually resulting in a longer duration and a more peripheral, extreme tongue position closer to the edges of the vowel space. This distinction is used especially to describe pairs of vowels in English that are similar in height and backness but differ systematically along this dimension, and it has consequences for syllable structure, since the less-tense category in many varieties of English is restricted from appearing in open syllables or at the end of a word without a following consonant, unlike the more-tense category, which can occur freely in open syllables. Although the two labels are described impressionistically in terms of muscular effort, they are also correlated with measurable acoustic and articulatory differences, and the distinction functions as a genuine phonological feature in the vowel system of English and several other languages, helping to organize vowel pairs into natural classes for the purposes of phonological rules.","The vowel in 'bit' /ɪ/ belongs to the less-tense category, while the vowel in 'beat' /iː/ belongs to the more-tense category, and unlike /iː/, /ɪ/ cannot end an English word by itself."
49,lenition,"This process, common historically and synchronically across many languages, occurs when a consonant becomes weaker or less obstruent, typically shifting along a scale from a stronger articulation toward a phonetically or perceptually softer one, such as a voiceless stop becoming voiced, a stop becoming a fricative or approximant, or a consonant being deleted entirely, usually as the endpoint of progressive weakening. It is frequently triggered by a weak prosodic environment, such as occurring between two vowels, in an unstressed syllable, or at the end of a word, where articulatory effort tends to be reduced compared to strong positions like the beginning of a stressed syllable, and it is understood as the opposite of a process in which a sound becomes stronger rather than weaker. Patterns of this kind are extremely well documented as a diachronic mechanism of historical sound change, famously in the Celtic languages, where the process operates as a productive synchronic morphophonological rule triggered by specific grammatical contexts, but the same general weakening tendency also underlies many everyday allophonic processes in casual speech across unrelated language families, including flapping and spirantization.",The historical shift of intervocalic /p/ to /b/ and eventually to /v/ in many Romance languages is a classic example of this kind of progressive weakening.
50,level of representation (underlying and surface representation),"This term refers to one of the distinct layers of abstraction at which phonologists describe the pronunciation of a word within a rule-based or derivational framework, with one layer capturing the abstract, often invariant form of a morpheme as it is stored in a speaker's mental lexicon before any phonological rules have applied, and another layer capturing the concrete, fully rule-derived pronunciation that is actually spoken and heard. Between these two layers, a derivation may pass through one or more intermediate stages, each reflecting the cumulative effect of applying some subset of the ordered phonological rules, and different theoretical frameworks disagree about exactly how many such layers are necessary and how abstract the earliest one should be allowed to be. Positing a starting layer that is more abstract than any single surface form allows a single stored form to explain multiple related surface alternants through general rules, which is often considered more economical and explanatory than storing every surface variant separately, though this abstractness is also a frequent source of theoretical debate about how psychologically real such abstract starting forms actually are.","An abstract starting form like /rɪd+z/ for 'reads' becomes the concrete, spoken form [rɪdz] after regular voicing agreement rules apply to the plural suffix."
51,lexical rule,"This term names a phonological rule that applies within the word-formation component of the grammar, meaning it operates on individual words or morphemes as they are being assembled, typically before or during word formation and often sensitive to morphological structure, grammatical category, or membership in a specific word class, in contrast to a rule that applies later, after word formation is complete, and typically operates more automatically across larger phrases regardless of morphological structure. Rules of this earlier-applying kind are frequently associated with exceptions, restrictions to particular word classes, and a certain degree of unpredictability or idiosyncrasy, reflecting their close ties to the specific morphological makeup of individual words, whereas rules applying later in the derivation tend to behave more uniformly and exceptionlessly. This distinction in timing of rule application is a central organizing principle of an influential theoretical framework that explicitly divides the grammar into ordered strata, with certain morphological processes and their associated phonological rules applying at earlier strata and others, along with more general phrase-level phonological rules, applying only afterward at a final stage.","A stress-assignment rule that applies only when a specific derivational suffix is attached, and not elsewhere, applies at this earlier, word-formation-sensitive stage."
52,linking 'r',"This phenomenon occurs in non-rhotic varieties of English in which a word-final /r/ that is normally silent when the word appears in isolation or before a consonant is instead pronounced when the following word begins with a vowel sound, effectively joining the two words together with an audible consonant across the boundary between them. This process reflects the historical fact that these dialects lost /r/ only in certain positions, specifically before a consonant or at the absolute end of an utterance, while retaining it in environments where it was followed directly by a vowel, so this phenomenon can be understood as the surviving remnant of the original, fully rhotic pronunciation appearing precisely in the context where historical /r/-deletion never applied. It is closely related to, and often discussed alongside, a phenomenon in which a similar /r/ sound is inserted between vowels even where no historical or orthographic /r/ ever existed, with the two together suggesting that many non-rhotic speakers have generalized a rule requiring an /r/-like consonant before a following vowel across word boundaries, rather than treating this phenomenon merely as an isolated remnant of historical spelling.","In a non-rhotic accent, 'far' is pronounced without /r/ in isolation, but the /r/ is pronounced when the next word starts with a vowel, as in 'far away'."
53,liquid,"This traditional phonetic and phonological category groups together lateral approximants and rhotic approximants, treating both as sharing enough articulatory and phonological similarities, including their sonorant, vowel-like resonant quality combined with their consonantal syllable-margin distribution, to be classed together under one label despite their quite different individual articulations. Sounds in this category are grouped together with glides under the still broader category of approximants, since neither this category nor glides involve the narrow constriction and resulting turbulent airflow found in true fricatives, but this category is typically distinguished from glides by its somewhat greater degree of vocal tract constriction and by certain characteristic phonological behaviors, such as frequent participation in complex onset clusters together with an obstruent. This category, while useful descriptively and pedagogically, actually covers considerable articulatory diversity across languages, since rhotic sounds in particular can be produced in an unusually wide variety of ways, including as taps, flaps, trills, or approximants at several different places of articulation, meaning that the featural definition of what unifies this whole category cross-linguistically remains a subject of ongoing phonological discussion.","/l/ and /r/ in English, as in 'light' and 'right', both belong to this category, patterning as sonorant consonants distinct from obstruents."
54,manner of articulation (place of articulation),"One dimension in this pair of basic descriptive parameters refers to the specific way in which the airstream is modified or obstructed as it passes through the vocal tract during the production of a consonant, encompassing categories such as complete closure followed by release for stops, narrow constriction producing turbulence for fricatives, combined closure and turbulent release for affricates, lowered velum allowing airflow through the nose for nasals, and relatively open, vowel-like configurations for approximants. The other dimension, by contrast, specifies exactly where in the vocal tract this modification of airflow occurs, identifying which active articulator, such as the lips or tongue, approaches or contacts which passive articulator, such as the teeth, the ridge behind them, the palate, the velum, or the glottis. Any given consonant is fully specified only by stating both of these dimensions together, along with its voicing, since one dimension alone identifies a broad category shared by many sounds at different locations, while the other alone identifies a location shared by sounds with different manners, and the standard consonant chart used in phonetics arranges every consonant according to the intersection of these two dimensions.","/t/ and /k/ share one of these two dimensions, both being stops, but differ in the other, alveolar versus velar; /t/ and /s/ share the location dimension but differ in how the airflow is shaped."
55,metathesis,"This process occurs when the relative order of two sounds within a word is reversed or transposed, so that a sequence that was originally, say, consonant-vowel becomes vowel-consonant, or two consonants swap their positions relative to each other, producing a surface form whose sound sequence differs from the historical or underlying order without any sounds actually being added, deleted, or changed in quality. It can occur as a regular, productive synchronic process in the phonology of a language, systematically reordering sounds in certain predictable environments, or it can occur as a sporadic historical accident affecting only a handful of individual words, sometimes eventually becoming lexicalized as the new standard pronunciation even though it originated as what would once have been considered a speech error or a dialectal variant. It is also well documented as a type of speech error or slip of the tongue in ordinary spontaneous speech production, closely related to but distinct from a spoonerism, since this simpler kind of reordering typically involves swapping sounds within a single word rather than exchanging sounds between two separate words.","The Old English word 'wæps' underwent this kind of sound-order reversal to become modern English 'wasp', swapping the order of the /p/ and /s/ sounds."
56,minimal pair (near minimal pair),"This term names a pair of words in a language that differ in meaning and that differ in pronunciation by exactly one sound in exactly the same position, with every other sound in the two words being identical, making pairs of this kind the single most direct and widely used type of evidence for establishing that two sounds are separate, contrastive phonemes rather than allophones of the same phoneme in that language. A weaker but still useful version of the same kind of evidence consists of two words that differ in more than one sound but that nonetheless still support the same phonemic contrast, typically because the additional differences are independently known not to be relevant, allowing linguists to still draw a reasonably confident phonemic conclusion even when a perfect single-sound example cannot be found in the available data. Successfully finding a strict example of this kind for two sounds is considered strong, direct proof that the two sounds must be assigned to separate underlying phonemes, since the meaning difference between the two words can only be attributed to that one sound difference, whereas an inability to find any strict or near example, especially combined with evidence of complementary distribution, instead points toward an allophonic relationship.","'Pat' /pæt/ and 'bat' /bæt/ differ in meaning by exactly one sound in the same position, showing that /p/ and /b/ are separate phonemes in English."
57,"nasal (stop), nasalized vowel, nasalization","One sound in this family is produced with a complete closure somewhere in the oral cavity, just as with an ordinary oral stop, but with the velum lowered so that air is redirected to flow out through the nose instead of being blocked entirely, giving the sound its characteristic resonant quality despite the oral closure. A vowel can also take on a version of this same quality when it is produced with the velum at least partially lowered during its articulation, allowing some air to escape through the nose simultaneously with the normal oral vowel articulation, which changes its acoustic and perceptual quality compared to a corresponding fully oral vowel with the velum raised and closed. The general process behind this whole family refers to the spreading of this lowered-velum airflow property onto a neighboring sound that would not otherwise have it, most commonly a vowel taking it on because it is adjacent to a consonant of this type, a pattern found across many languages as either an automatic phonetic effect or, in some languages, a fully phonemic and contrastive property of vowels in their own right, independent of any adjacent triggering consonant.","In English, the vowel in 'bang' takes on this lowered-velum quality due to the following consonant, even though the property itself is not contrastive in English vowels."
58,natural class (naturalness),"This term names a set of sounds in a language that share one or more distinctive properties in common and that, as a group, pattern together in the phonological rules of that language, undergoing the same processes or triggering the same effects on neighboring sounds, in a way that would be difficult to state economically if the sounds were simply listed individually without reference to their shared properties. The related concept underlying this notion reflects the idea that phonological rules overwhelmingly tend to target groups of sounds defined by genuine shared properties rather than arbitrary, featurally unrelated groupings, and this tendency is taken as evidence that distinctive properties are not just a convenient descriptive notation but actually correspond to real, cognitively active units that speakers' grammars are sensitive to. Identifying the correct group targeted by a given rule is a central analytical task in phonology, since correctly identifying the relevant shared property or properties allows the rule to be stated in its most general and explanatory form, whereas failing to identify the true group often results in a rule that appears to have unexplained, arbitrary exceptions.","The group of English voiceless obstruents /p, t, k, f, θ, s, ʃ, tʃ, h/ conditions the pronunciation of the plural suffix as [s] rather than [z]."
59,"neutralization, neutralized","This process occurs when a contrast between two or more phonemes that is normally distinctive in a language is suspended or eliminated in a particular environment, so that the sounds which would ordinarily be kept phonemically distinct converge on a single surface realization in that specific context, even though the same sounds remain fully contrastive and distinguishable everywhere else in the language. A contrast affected this way is described with a related passive adjective in that environment, and the single surface form that results can sometimes be identical to one of the two original contrasting sounds, or it can occasionally be a third form that is phonetically intermediate between them or otherwise distinct from both underlying sounds. This process is theoretically significant because it creates cases where the surface pronunciation alone is not sufficient to determine which underlying phoneme is actually present, requiring linguists to look instead at related forms in which the contrast is not suspended, or at other kinds of morphological or historical evidence, in order to correctly identify the underlying phonemic identity of the affected sound.","In German, the contrast between voiced and voiceless obstruents is suspended word-finally, so underlying /d/ and /t/ both surface as [t] at the end of a word."
60,node,"In the context of phonological representation, this term refers to a labeled point within a hierarchical, tree-like structure that is used to organize and represent phonological information, such as features, syllable constituents, or metrical structure, and to formally express the relationships of dominance and grouping among the different pieces of phonological structure that a given theoretical model assumes. In feature geometry, for instance, individual distinctive features are organized underneath higher, more abstract class points of this kind, such as one grouping together features related to voicing, or one grouping together features related to the location of articulation, and phonological rules can then refer economically to an entire point along with everything beneath it at once, rather than needing to list each lower-level feature separately every time. Similarly, in syllable structure representations, points of this kind are used to represent the syllable itself along with its constituent parts, such as the onset, nucleus, and coda, arranged hierarchically beneath the syllable, and in metrical phonology, they represent strong and weak positions within the branching tree structure of a metrical foot. The use of such hierarchical points across these different subfields of phonology reflects a broader theoretical shift away from treating segments as simple, unstructured bundles of features toward representing phonological information with rich, internally organized hierarchical structure.","In feature geometry, the laryngeal grouping point dominates the features [voice] and [spread glottis], allowing a single rule to target both features at once."
62,nucleus,"This term names the obligatory core of a syllable, most commonly filled by a vowel but in some languages also fillable by a sonorant consonant such as a liquid or nasal functioning as the syllable's peak, and it is the one syllable constituent that cannot be omitted, since every syllable, by definition, must contain this core even if it lacks a beginning or an end consonant entirely. This constituent typically carries the greatest sonority, or acoustic prominence, of any segment within its syllable, which is why vowels, being maximally sonorous, are cross-linguistically the default and by far the most common filler of this position, while sonorant consonants can only serve this role under more restricted conditions found in a smaller subset of languages, and true obstruents essentially never function this way. Together with the onset preceding it and the coda following it, this core forms the tripartite internal structure that phonologists use to describe how segments are organized within a single syllable, and this core alone, together with the coda, is often grouped together under the higher-level constituent called the rhyme, distinguishing this vowel-plus-coda unit from the onset that precedes it.","In the word 'cat' [kæt], the vowel /æ/ fills this core position, flanked by the onset /k/ and the coda /t/."
63,obstruent,"This term names a major class of consonants characterized by a significant obstruction of the airflow through the vocal tract, sufficient to create either a complete stoppage of airflow, as in stops, or audible turbulent frication, as in fricatives and affricates, and this class is defined in opposition to sonorants, which allow the airflow to pass relatively freely without creating this kind of substantial obstruction or turbulence. Sounds in this class typically pattern together as a natural group in the phonology of many languages, commonly showing voicing contrasts, participating in processes like final devoicing or voicing assimilation, and behaving differently from sonorants with respect to syllabification, since members of this class are strongly disfavored or entirely excluded from functioning as a syllable nucleus, unlike certain sonorant consonants, which can occasionally serve that role. The major class property distinguishing this group from sonorants is considered one of the most fundamental divisions in the entire consonant system, cutting across the finer manner-of-articulation categories, since stops, fricatives, and affricates are all classified together in this group despite their differing individual manners, while nasals, liquids, and glides are all classified together as sonorants despite likewise differing from one another in manner.","Stops, fricatives, and affricates, such as /p, s, tʃ/, all belong to this class in English, contrasting with sonorants like /m, l, w/."
64,onset,"This term names the portion of a syllable that precedes the vowel nucleus, consisting of zero, one, or, in many languages, more than one consonant that begins the syllable before the nucleus is reached, and together with the nucleus and coda it forms the standard tripartite division phonologists use to describe internal syllable structure. Unlike the nucleus, this constituent is not obligatory in most languages, meaning that syllables can begin directly with a vowel and have nothing filling this position at all, although some languages do require every syllable to have at least one consonant here, inserting a glottal stop or similar default consonant if no other consonant is available to fill it. Languages vary considerably in how large and how internally structured a permissible cluster in this position can be, with some languages allowing only a single consonant here and others permitting quite complex sequences of two or even three consonants, and the specific combinations allowed together in this position are governed by that language's phonotactic constraints, often reflecting sonority-based restrictions on which consonant types can combine and in which relative order.","In the word 'string' [strɪŋ], the three-consonant cluster /str/ fills this position preceding the vowel nucleus."
65,opacity (opaque),"This term, in phonology, describes a situation in which the environment that originally triggered a phonological rule to apply is no longer visible on the surface, either because that triggering environment has itself since been altered or deleted by the application of another rule, or because a rule applies even though its normal triggering environment does not actually appear on the surface at all, making the rule's application look unmotivated or exceptional if one only examines the final surface form without considering the order in which rules applied during the derivation. A rule or its output described with the related adjective is precisely one where the connection between the rule and its conditioning environment is obscured, and resolving an apparent case of this kind typically requires positing an intermediate stage in the derivation, prior to the application of whichever rule destroyed or altered the triggering context, at which the conditioning environment for the earlier rule was still genuinely present and visible. Effects of this kind are considered theoretically important and sometimes challenging because they provide strong evidence for ordered, derivational rule application with meaningful intermediate representations, and they have historically posed significant analytical difficulties for surface-oriented, non-derivational, or purely output-based frameworks such as classic Optimality Theory, which must therefore develop specialized mechanisms to handle such cases.","If a vowel is nasalized before a nasal consonant that is later deleted, the resulting nasalized vowel with no adjacent nasal consonant illustrates this kind of surface obscuring of an earlier rule's trigger."
66,oral tract,"This term refers to the portion of the overall vocal tract that lies within the mouth, extending from the lips at the front to the velum toward the back, encompassing the space bounded by the tongue, the hard and soft palate, the teeth, and the lips, and it is the primary cavity in which most consonant and vowel articulations are shaped, since the great majority of place-of-articulation distinctions involve some part of the tongue interacting with a location along this cavity. This region is distinguished from the separate air passage through the nasal cavity, which is coupled to or decoupled from it depending on the raised or lowered position of the velum, and together with that nasal passage and the pharyngeal cavity below them, this region makes up the full supralaryngeal vocal tract through which sound produced at the larynx is filtered and shaped into recognizable speech sounds. Most sounds in the world's languages are produced as purely oral sounds, with the velum raised to block off the nasal passage entirely, while nasal consonants and nasalized vowels specifically involve opening this connection to allow simultaneous airflow through the nasal passage as well.","During the production of an oral vowel, the velum is raised to seal off the nasal passage, directing all airflow through this cavity alone."
67,palatal,"This term names a place of articulation in which the body or front of the tongue is raised toward the hard, bony, dome-shaped area of the roof of the mouth located between the alveolar ridge and the softer velum further back, and this relatively high, forward tongue-body position gives sounds made here a characteristic bright, high-frequency acoustic quality. True consonants made at this exact location are found less frequently as a primary, independent place of articulation across the world's languages compared to places like alveolar or velar, but this region plays an extremely important secondary role, since raising the front of the tongue toward it as a secondary articulation superimposed on some other primary place is one of the most common and productive phonological processes found across languages. In English specifically, the single true consonant made at this exact location is a glide, articulated with a tongue-body position very close to that of a high front vowel, while other sounds sometimes loosely described in everyday terms as being made here, such as the post-alveolar affricates and fricatives, are more precisely classified as being produced slightly further forward, at the boundary between the alveolar ridge and this region proper.","/j/ in 'yes' is the one true consonant made at this location in English, produced with the front of the tongue raised close to the hard palate."
68,palato-alveolar,"This term, sometimes also called post-alveolar, names a place of articulation located just behind the alveolar ridge and just in front of the hard palate proper, representing an intermediate location between the purely alveolar and purely palatal regions, and it is the specific place of articulation used for a well-known and cross-linguistically common set of consonants that combine this constriction location with lip rounding as an additional secondary articulation. This place of articulation is the site of production for the two English fricatives and two affricates that together give English its full sibilant series alongside the alveolar sibilants /s/ and /z/, and the six sibilants together, spanning both the alveolar and this place of articulation, are frequently treated as a single natural class in phonological rules despite being produced at two technically distinct locations, because they share the key articulatory property of directing a strong turbulent airstream against the back of the teeth. Some phonetic traditions distinguish this term from a near-synonym as subtly different locations, while others use the two terms interchangeably to refer to essentially the same region just behind the alveolar ridge.","/ʃ, ʒ, tʃ, dʒ/, as in 'ship', 'measure', 'chip', and 'judge', are all produced at this place of articulation in English."
